City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
128,Tasiilaq,GL,2022-02-02   03:16:19,65.6145,-37.6368,12.36,70,100,4.61
129,San Quintin,MX,2022-02-02   03:16:19,30.4833,-115.95,58.42,68,56,8.21
130,Machilipatnam,IN,2022-02-02   03:16:19,16.1667,81.1333,73.6,71,76,0.54
131,Kaitangata,NZ,2022-02-02   03:12:13,-46.2817,169.8464,80.2,51,94,8.52
132,Najran,SA,2022-02-02   03:16:20,17.4924,44.1277,57.85,36,1,4.76
133,Arraial Do Cabo,BR,2022-02-02   03:16:20,-22.9661,-42.0278,75.63,88,100,8.88
134,Verkh-Tula,RU,2022-02-02   03:17:20,54.8839,82.7762,19.18,93,100,8.95
135,Byron Bay,AU,2022-02-02   03:16:32,-28.65,153.6167,87.91,75,100,3.22
136,Toamasina,MG,2022-02-02   03:17:21,-18.1667,49.3833,75.2,94,40,6.91
137,Nouadhibou,MR,2022-02-02   03:17:21,20.931,-17.0347,71.22,48,96,12.73
138,Cam Ranh,VN,2022-02-02   03:17:22,11.9214,109.1591,82.36,61,20,13.8
139,Bairnsdale,AU,2022-02-02   03:17:22,-37.8333,147.6167,66.06,58,72,5.99
140,Bereda,ES,2022-02-02   03:17:22,43.2686,-7.5406,41.41,100,14,1.21
141,Victoria,HK,2022-02-02   03:16:53,22.2855,114.1577,61.95,90,100,1.01
142,Norman Wells,CA,2022-02-02   03:17:23,65.282,-126.8329,-29.16,68,20,3.44
143,Kuching,MY,2022-02-02   03:17:23,1.55,110.3333,82.62,83,20,5.75
144,Shahr-E Babak,IR,2022-02-02   03:17:23,30.1165,55.1186,36.43,67,0,3.78
145,Mahebourg,MU,2022-02-02   03:17:24,-20.4081,57.7,81.25,89,75,26.46
146,Wajid,SO,2022-02-02   03:17:24,3.8093,43.2471,73.58,76,100,14.58
147,Gizo,SB,2022-02-02   03:17:24,-8.103,156.8419,83.97,74,95,10.42
148,Sedan,FR,2022-02-02   03:17:25,49.6667,5.0,47.91,82,100,14.45
149,Waingapu,ID,2022-02-02   03:17:25,-9.6567,120.2641,87.87,61,8,14.0
150,Roebourne,AU,2022-02-02   03:17:25,-20.7833,117.1333,89.62,60,97,12.24
151,South Venice,US,2022-02-02   03:17:26,27.0531,-82.4243,62.98,62,0,12.66
152,Lasa,IT,2022-02-02   03:17:26,46.6166,10.7002,38.66,93,100,9.04
153,Agde,FR,2022-02-02   03:17:26,43.3108,3.4758,51.87,74,0,5.01
154,Narsaq,GL,2022-02-02   03:17:27,60.9167,-46.05,12.42,81,14,4.5
155,Wewak,PG,2022-02-02   03:17:27,-3.5534,143.6268,76.64,91,100,3.98
156,Jamestown,US,2022-02-02   03:17:27,42.097,-79.2353,36.72,42,75,14.97
157,Kargasok,RU,2022-02-02   03:17:27,59.0556,80.8572,13.37,96,100,6.11
